Algorithm,Dataset,Variant,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
Random Forest,Dataset A,Original,0.982,0.9,0.5294117647058824,0.6666666666666666,0.9595740470101084,1.1272382736206055
Random Forest,Dataset A,SMOTE,0.966,0.5,0.6764705882352942,0.575,0.9569289672390696,2.292160987854004
Random Forest,Dataset A,Feature Selection,0.9845,0.8627450980392157,0.6470588235294118,0.7394957983193278,0.9690126050420168,1.1460380554199219
Random Forest,Dataset A,Feature Selection + SMOTE,0.955,0.4140625,0.7794117647058824,0.5408163265306123,0.9680801668493485,2.7155566215515137
XGBoost,Dataset A,Original,0.986,0.8448275862068966,0.7205882352941176,0.7777777777777778,0.9659222384606017,0.13918185234069824
XGBoost,Dataset A,SMOTE,0.9775,0.6385542168674698,0.7794117647058824,0.7019867549668874,0.9681981488247473,0.2827138900756836
XGBoost,Dataset A,Feature Selection,0.984,0.8214285714285714,0.6764705882352942,0.7419354838709677,0.9719355133357691,0.12650799751281738
XGBoost,Dataset A,Feature Selection + SMOTE,0.9755,0.611764705882353,0.7647058823529411,0.6797385620915033,0.9648261478504445,0.21637868881225586
SVM,Dataset A,StandardScaler,0.972,0.875,0.2059,0.3333,0.9468,0.686
KNN,Dataset A,StandardScaler,0.974,0.8333,0.2941,0.4348,0.8291,0.012
SVM,Dataset A,MinMaxScaler,0.967,1.0,0.029411764705882353,0.05714285714285714,0.9092908902691512,0.9060139656066895
KNN,Dataset A,MinMaxScaler,0.9695,0.7058823529411765,0.17647058823529413,0.2823529411764706,0.8337786201437097,0.014224529266357422
