UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure_Type,Temp_Diff,Power_W,Tool_Wear_Speed_Ratio
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,No Failure,10.5,6951.5905601573495,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,No Failure,10.5,6826.722724152667,0.002130681803049135
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,No Failure,10.399999999999977,7749.387542560967,0.0033377836893338873
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,No Failure,10.400000000000034,5927.504658915661,0.0048848569093869025
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,No Failure,10.5,5897.816608339237,0.006392045409147405
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,No Failure,10.5,6252.554778807085,0.007719298191443522
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,No Failure,10.5,6917.703247400628,0.008985879274801802
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,No Failure,10.5,6428.264055922363,0.010478061489993048
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,No Failure,10.399999999999977,4992.639989035923,0.01079784036713953
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,No Failure,10.5,5104.878622573175,0.012062033244905035
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,No Failure,10.5,4459.993426595285,0.01346801339243539
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,No Failure,10.5,6601.41817101272,0.020379479828675474
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,No Failure,10.5,7165.229332576968,0.02539208345487615
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,No Failure,10.599999999999966,5472.654402553419,0.021239953953846417
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,No Failure,10.599999999999966,4176.85215270275,0.01965601955942988
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,No Failure,10.599999999999966,7815.528539894543,0.027237353908966578
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,No Failure,10.599999999999966,6397.602111623327,0.033562166029274094
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,No Failure,10.5,6733.061375173644,0.033333333096926716
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,No Failure,10.399999999999977,7453.6380101520235,0.03828483891052956
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,No Failure,10.400000000000034,5554.3358115467545,0.03370098018565576
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,No Failure,10.400000000000034,6148.358622463025,0.04218181787504133
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,No Failure,10.5,6802.595292573099,0.043448275562425684
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,No Failure,10.400000000000034,5082.75133831639,0.04111321922129526
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,No Failure,10.399999999999977,4731.3013681593,0.038680318323775206
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,No Failure,10.399999999999977,6097.339157768725,0.04484304904008297
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,No Failure,10.5,4540.7847176701025,0.03922622225026211
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,No Failure,10.399999999999977,6175.114519896097,0.04960317427511128
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,No Failure,10.299999999999955,4665.327922433914,0.042517945651474626
